Megnevezés;Eredeti elõirányzat
Nemzeti Akkreditáló Hatóság bevételei (B210511);298000000
Pénzügyminisztérium (PM) fejezeti bevételei (B2106);44099100000
Magyar Államkincstár bevételei (B21061);19971300000
Közbeszerzési és Ellátási Fõigazgatóság (KEF) bevételei (B21062);6429500000
Nemzeti Adó- és Vámhivatal bevételei (B21063);5840900000
Európai Támogatásokat Auditáló Fõigazgatóság (EUTAF) bevételei (B21064);1358000000
Pénzügyminisztérium igazgatásának bevételei (B21065);1070000000
Európai Területi Együttmûködés bevételei (B21066);320000000
A 2007-2013. évek közötti operatív programok visszaforgó pénzeszközeinek felhasználásának és kezelésének bevételei (B21067);9109400000
Agrárminisztérium fejezeti bevételei (B2107);31726100000
Nemzeti Élelmiszerlánc-biztonsági Hivatal bevételei (B210701);10437600000
Nemzeti agrárkár-enyhítés bevételei (B210702);6400000000
Nemzeti park igazgatóságok bevételei (B210703);6071100000
Mezõgazdasági középfokú szakoktatás intézményeinek bevételei (B210704);5079200000
Ménesgazdaságok bevételei (B210705);3029600000
Országos Meteorológiai Szolgálat (OMSZ) bevételei (B210706);202700000
Nemzeti Biodiverzitás- és Génmegõrzési Központ bevételei (B210707);185300000
Magyar Mezõgazdasági Múzeum és Könyvtár bevételei (B210708);155000000
Agrárminisztérium igazgatásának bevételei (B210709);134000000
Nemzeti Földügyi Központ bevételei (B210710);31600000
Eötvös Loránd Kutatási Hálózat (ELKH) bevételei (B2108);16899900000
Országgyûlés fejezeti bevételei (B2109);15328000000
Magyar Energetikai és Közmû-szabályozási Hivatal bevételei (B21091);8460400000
Szabályozott Tevékenységek Felügyeleti Hatósága bevételei (B21092);3543600000
Közbeszerzési Hatóság bevételei (B21093);2769000000
Országgyûlés Hivatala bevételei (B21094);550000000
Állambiztonsági Szolgálatok Történeti Levéltára bevételei (B21095);5000000
Magyar Tudományos Akadémia bevételei (B2110);7823900000
MTA Könyvtár és Információs Központ bevételei (B21101);6126500000
MTA egyéb intézmények bevételei (B21102);1268700000
MTA Jóléti intézmények bevételei (B21103);321900000
MTA Területi Akadémiai Bizottságok Titkársága bevételei (B21104);64100000
MTA Titkárság Igazgatása, tiszteletdíjak bevételei (B21105);42200000
